,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
3393,guerrpe01,Pedro Guerrero,5392,1618,0.300074183976,0.297842417985,1735.98357784,4092.54678928,0.641899139242,0.230540742376
6046,mostijo01,Johnny Mostil,3507,1054,0.300541773596,0.29719146773,1171.98357784,2771.54678928,0.651694120409,0.23280500785
5602,mchenau01,Austin McHenry,1959,592,0.302194997448,0.296378450296,709.983577844,1685.54678928,0.652942623784,0.235051733069
4706,krukjo01,John Kruk,3897,1170,0.300230946882,0.297213465404,1287.98357784,3045.54678928,0.657303700205,0.23729775417
99,allenet01,Ethan Allen,4418,1325,0.299909461295,0.297244731976,1442.98357784,3411.54678928,0.664037195066,0.23955563481
3222,goodmbi01,Billy Goodman,5644,1691,0.299610205528,0.297504242003,1808.98357784,4271.54678928,0.665961216078,0.241799874711
2903,furilca01,Carl Furillo,6378,1910,0.299466917529,0.297596968329,2027.98357784,4786.54678928,0.668860977695,0.244035796717
5816,milledu01,Dusty Miller,2557,769,0.300743058271,0.296300177071,886.983577844,2106.54678928,0.67279883341,0.246268937533
7846,sheelea01,Earl Sheely,4471,1340,0.299709237307,0.297091096494,1457.98357784,3449.54678928,0.673391573741,0.248482008187
708,bladera01,Ray Blades,2415,726,0.300621118012,0.295975658396,843.983577844,2007.54678928,0.682637507788,0.250719923133
2149,demarfr02,Frank Demaree,4144,1241,0.299469111969,0.296686948655,1358.98357784,3221.54678928,0.689408616475,0.25296960874
5033,loftoke01,Kenny Lofton,8120,2428,0.299014778325,0.297548593718,2545.98357784,6010.54678928,0.690895797337,0.255203926029
1356,cartyri01,Rico Carty,5606,1677,0.299143774527,0.297058263474,1794.98357784,4247.54678928,0.692608805755,0.257424255367
2333,doyleja01,Jack Doyle,6039,1806,0.299056135122,0.297115984138,1923.98357784,4551.54678928,0.695170588896,0.259635095436
9121,westsa01,Sam West,6148,1838,0.298959011061,0.297057416215,1955.98357784,4628.54678928,0.700267342983,0.261849327835
5516,mccorfr01,Frank McCormick,5723,1711,0.298969072165,0.296935556582,1828.98357784,4330.54678928,0.701629321126,0.264048227802
2449,eastete01,Ted Easterly,2020,607,0.300495049505,0.295125021676,724.983577844,1731.54678928,0.703352443952,0.266233820917
5474,mcbriba01,Bake McBride,3853,1153,0.299247339735,0.296299004568,1270.98357784,3018.54678928,0.703357805693,0.26839780104
4196,jeffere01,Reggie Jefferson,2123,637,0.300047103156,0.294969572365,754.983577844,1804.54678928,0.712983821119,0.270587879956
670,bicheda01,Dante Bichette,6381,1906,0.298699263438,0.296879290425,2023.98357784,4793.54678928,0.714443746504,0.272763644008
7184,riceha01,Harry Rice,3740,1118,0.298930481283,0.295935494106,1235.98357784,2940.54678928,0.718543435778,0.274938179578
8235,startjo01,Joe Start,4747,1418,0.298714977881,0.296319972887,1535.98357784,3647.54678928,0.720036095645,0.277098849073
4907,lemahdj01,DJ LeMahieu,2303,690,0.299609205384,0.294935068996,807.983577844,1931.54678928,0.720762598346,0.27924215221
